N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency
98,53,38,20.2670,81.6389,5.0145,270.4417,rice,12.1730,3,7.4116,5.9781,437.3522,8.6598,6,10.9922,46.7254,134.2455,2,49.8216,1,41.0532,3.4668
88,54,44,25.7354,83.8826,6.1494,233.1321,rice,23.3340,3,11.4357,1.1235,428.4370,5.1183,5,8.5887,2.0024,127.8065,1,2.9102,1,71.0673,3.4784
95,55,42,26.7953,82.1480,5.9506,193.3473,rice,23.9788,3,11.4026,14.2398,440.2770,2.8606,6,19.9401,18.5928,148.6785,1,29.8083,3,87.4466,4.9371
99,57,35,26.7575,81.1773,5.9603,272.2999,rice,20.4634,1,6.2885,15.6806,414.9543,9.0400,6,6.1919,2.7200,185.9919,2,2.1033,1,97.6674,3.8679
95,39,36,23.8633,83.1525,5.5613,285.2493,rice,18.1954,2,9.6593,5.9150,423.0248,2.3715,1,7.6242,62.7150,57.9637,3,10.3622,3,6.8526,1.0495
60,43,44,21.0194,82.9522,7.4162,298.4018,rice,19.4740,3,10.1738,5.6144,381.3204,6.1841,2,13.1585,45.7335,142.7926,2,3.2353,2,21.1463,2.2083
63,44,41,24.1729,83.7287,5.5833,257.0343,rice,10.4703,3,6.1125,11.5609,446.1576,5.1912,5,19.6698,13.4155,162.2816,3,8.4694,1,42.2270,4.5586
62,42,36,22.7813,82.0671,6.4300,248.7183,rice,19.7100,1,10.6651,16.5081,415.2461,8.7489,2,17.7477,79.5254,65.1444,3,44.5842,3,6.1138,3.6062
64,45,43,25.6298,83.5284,5.5348,209.9001,rice,17.2418,2,10.9122,5.9941,428.6996,2.6018,3,14.8303,82.1720,161.6658,3,29.8012,1,47.3081,1.0867
83,60,36,25.5970,80.1450,6.9039,200.8348,rice,23.5322,3,8.7669,8.1192,401.0458,8.4109,1,5.5451,86.3719,74.7326,1,6.3340,1,88.2559,4.9372
82,40,40,23.8306,84.8136,6.2714,298.5601,rice,22.6916,1,6.6050,15.5539,437.1088,7.0308,2,7.0318,43.3873,195.8162,1,3.5154,3,36.9214,4.6525
85,52,45,26.3135,82.3669,7.2242,265.5355,rice,10.9249,1,9.8176,9.7474,368.0356,1.8143,6,14.0808,90.0907,181.7079,1,22.9394,3,15.5308,2.8258
91,35,38,24.8972,80.5258,6.1342,183.6793,rice,14.6593,1,7.7194,18.6770,407.8865,4.8469,6,8.7750,98.9995,130.2798,2,21.9793,2,10.3596,3.2577
76,49,42,24.9587,84.4796,5.2063,196.9560,rice,15.6727,3,10.1468,9.8952,423.0962,6.4222,3,6.7654,88.5524,87.0192,2,5.5100,3,18.3342,2.2430
74,39,38,23.2411,84.5920,7.7820,233.0453,rice,20.8174,3,11.9133,11.2068,392.4729,2.5147,6,18.0520,12.7972,57.7936,2,8.9569,3,3.0064,2.3899
79,43,39,21.6662,80.7096,7.0627,210.8142,rice,16.4349,1,8.6208,7.9961,373.4682,4.2937,4,5.7246,51.5098,151.9882,3,39.8827,3,95.6222,2.7800
88,55,45,24.6354,80.4136,7.7303,253.7202,rice,14.8340,3,7.0299,14.4342,420.6499,1.7059,6,15.9515,11.0105,98.0272,1,17.1079,2,11.0321,4.3387
60,36,43,23.4312,83.0631,5.2862,219.9048,rice,24.8121,1,7.1699,7.1221,409.3179,2.2645,6,14.0545,41.5600,90.2512,1,4.3351,3,40.4534,1.1794
76,60,39,20.0454,80.3477,6.7662,208.5810,rice,10.9077,2,9.5188,4.5383,446.2142,9.7117,2,12.2773,98.5319,126.1635,3,6.6591,1,41.2965,3.3426
93,56,42,23.8572,82.2257,7.3827,195.0948,rice,29.1460,1,8.7067,8.0063,364.4324,7.2378,3,9.9438,25.9680,130.2402,1,31.2224,2,62.3841,3.8936
65,60,43,21.9719,81.8991,5.6581,227.3637,rice,21.2793,3,9.6945,14.7593,359.3430,1.5614,3,15.1347,70.6263,101.3128,1,10.1928,3,49.9982,4.3310
95,52,36,26.2291,83.8362,5.5433,286.5083,rice,16.4042,1,9.5060,9.9636,410.9776,3.7475,4,13.6655,14.4328,124.0887,2,21.7475,3,36.9002,1.7327
75,38,39,23.4467,84.7935,6.2151,283.9338,rice,13.1049,3,10.1060,17.3744,420.6999,1.8355,2,11.0062,99.4302,141.5117,1,14.2406,2,78.3372,3.6564
74,54,38,25.6555,83.4702,7.1202,217.3788,rice,21.9874,1,8.3649,6.4283,372.5011,5.2680,3,7.1206,10.9532,63.7084,2,5.2886,3,73.1472,3.8573
91,36,45,24.4434,82.4543,5.9506,267.9761,rice,23.1620,3,11.5792,0.7639,414.9572,3.5629,6,6.2621,51.3198,58.5347,1,6.7078,1,83.2580,3.9965
71,46,40,20.2801,82.1235,7.2367,191.9535,rice,14.5104,3,10.0758,19.2709,419.8428,7.4604,2,11.3465,70.2103,131.4792,2,10.7315,2,10.4844,4.9867
99,55,35,21.7238,80.2389,6.5016,277.9626,rice,13.5385,1,9.1539,17.4337,399.2784,7.7920,6,13.8359,59.3651,53.3233,1,4.5310,1,32.6559,1.5620
72,40,38,20.4144,82.2080,7.5924,245.1511,rice,14.5923,3,10.9942,1.7897,393.2001,3.9017,6,5.4071,8.7005,53.4453,3,18.2614,3,20.9269,3.2564
83,58,45,25.7552,83.5182,5.8753,245.6626,rice,14.6969,1,10.0986,16.1029,425.2990,9.3474,5,18.3645,10.4475,90.0911,2,19.0600,1,74.3506,4.5620
93,58,38,20.6152,83.7734,6.9324,279.5451,rice,19.5691,3,8.9626,17.5992,430.7068,5.7807,4,14.3674,1.2100,67.8237,3,7.7341,2,30.7643,1.1678
70,36,42,21.8410,80.7288,6.9462,202.3838,rice,13.8258,2,9.1399,13.3277,366.1557,3.6447,1,14.7459,28.6362,59.5466,2,49.1839,3,77.9395,1.8753
76,47,42,20.0836,83.2911,5.7391,263.6372,rice,12.7985,1,8.4932,14.7931,361.0209,1.9853,4,7.3030,13.4453,134.0076,2,42.9304,3,66.2433,3.4540
99,41,36,24.4580,82.7483,6.7386,182.5616,rice,16.9523,1,10.0180,14.2777,401.1430,4.5256,3,11.8122,47.8409,170.6494,3,33.3464,1,23.6562,3.6257
99,54,37,21.1434,80.3350,5.5948,198.6730,rice,15.3939,3,9.3618,2.6483,353.1164,9.1072,6,17.8794,66.8791,60.5579,1,29.3364,2,23.2573,1.4600
86,59,35,25.7872,82.1112,6.9466,243.5120,rice,10.3086,1,7.1915,8.5107,401.4504,1.2416,4,7.3220,23.5212,71.6258,2,33.8782,2,1.9116,4.5372
69,46,41,23.6412,80.2859,5.0121,263.1103,rice,18.8806,2,10.8317,15.8443,428.4283,8.2754,6,7.0408,66.4719,161.1511,2,11.6791,1,43.3879,3.1002
91,56,37,23.4319,80.5688,6.3634,269.5039,rice,23.3651,2,10.6308,7.0557,431.4379,4.5959,4,13.7575,32.2914,139.1690,1,40.3708,3,58.5904,2.5380
61,52,41,24.9766,83.8918,6.8804,204.8001,rice,18.8259,2,10.8059,1.5682,426.8298,2.7750,5,15.4765,41.7225,188.1843,2,6.2034,3,75.9139,4.2086
67,45,38,22.7279,82.1706,7.3004,260.8875,rice,26.4653,3,9.1436,14.5416,392.1453,9.7613,2,7.1494,31.2225,92.1526,2,4.1949,2,75.0651,2.9699
79,42,37,24.8730,82.8402,6.5879,295.6094,rice,28.4792,1,9.9824,16.8207,352.6022,6.4963,6,11.3143,85.2050,108.0334,2,29.1251,2,52.8501,3.7481
78,43,42,21.3237,83.0032,7.2837,192.3197,rice,26.9584,3,11.5130,13.1716,405.7932,8.9590,6,5.5111,15.5605,127.8709,3,49.6837,2,44.2393,4.4651
75,54,36,26.2946,84.5691,7.0239,257.4914,rice,12.6924,1,10.1073,16.3702,378.8827,5.7119,5,14.3543,30.0059,177.6444,1,4.9704,3,79.4798,4.5616
97,36,45,22.2286,81.8587,6.9390,278.0791,rice,21.7429,2,8.5551,12.9216,387.7311,3.0548,2,15.3855,22.1768,110.1841,1,27.3841,3,3.7155,4.9750
67,47,44,26.7307,81.7859,7.8684,280.4044,rice,11.7515,2,7.7386,8.8174,416.6140,7.9505,6,11.4791,47.6239,104.4842,1,6.9836,1,62.4902,3.7675
73,35,38,24.8892,81.9792,5.0053,185.9461,rice,16.5120,3,10.9165,2.8412,391.0619,2.6256,3,7.3822,81.3078,98.5371,3,34.2221,2,48.7218,4.3672
77,36,37,26.8844,81.4603,6.1361,194.5766,rice,29.6154,3,6.9845,2.2616,442.4042,1.1719,5,16.5694,85.8220,162.1283,2,36.6528,3,34.5612,1.5530
81,41,38,22.6784,83.7287,7.5240,200.9133,rice,25.6190,1,7.6931,9.8096,417.5945,5.6753,4,18.7971,20.1229,198.3201,3,38.4767,3,91.7763,2.5104
68,57,43,26.0886,80.3797,5.7069,182.9043,rice,19.6926,2,10.2013,1.1079,424.7263,4.2928,2,17.0681,62.1373,82.9523,1,27.7852,1,65.2888,3.8082
72,45,35,25.4297,82.9468,5.7585,195.3574,rice,11.8750,2,9.9668,1.3934,359.4261,1.3295,2,7.4071,74.6472,135.7377,3,36.0126,1,33.1059,3.1817
61,53,43,26.4032,81.0563,6.3496,223.3671,rice,28.7616,1,10.2120,5.0678,387.7424,9.6099,4,17.6302,6.9475,94.5016,3,31.0174,1,57.3046,4.5560
67,43,39,26.0437,84.9690,5.9999,186.7536,rice,16.7470,1,11.3228,3.0095,365.8711,2.3570,2,7.0205,99.3116,156.7156,1,39.7212,3,60.2672,1.7535
67,58,39,25.2827,80.5437,5.4535,220.1156,rice,12.6125,1,8.1689,16.1113,361.3941,1.4004,3,8.3607,5.2567,192.2268,2,31.9352,1,75.5609,4.8436
66,60,38,22.0857,83.4703,6.3725,231.7364,rice,28.2984,2,9.3816,17.4971,371.3671,1.9780,5,17.2545,12.7260,80.3986,3,17.0680,1,62.2328,1.7260
82,43,38,23.2861,81.4332,5.1055,242.3170,rice,27.2190,1,5.5691,17.0333,405.5040,6.0700,5,16.1859,92.5293,194.8462,2,32.0314,1,63.6038,4.6976
84,50,44,25.4859,81.4063,5.9353,182.6549,rice,17.8886,2,8.4499,10.5931,388.4704,3.9402,1,5.1838,79.0629,197.8829,1,30.2017,3,79.1977,3.7419
81,53,42,23.6757,81.0356,5.1778,233.7034,rice,25.9499,2,11.8568,6.4855,415.9530,3.2707,3,10.0269,4.2819,102.7245,1,39.1550,3,64.5388,4.3492
91,50,40,20.8247,84.1341,6.4623,230.2242,rice,12.5065,2,10.6717,4.4104,396.4712,6.9720,5,11.4324,45.2050,136.0290,2,2.8548,2,52.1837,1.1669
93,53,38,26.9299,81.9141,7.0691,290.6793,rice,28.2591,1,6.3787,18.9086,352.4409,7.6997,2,16.2137,83.0497,69.7809,1,20.2378,1,57.5587,2.2964
90,44,38,23.8350,83.8838,7.4731,241.2013,rice,13.9115,1,6.9905,18.1621,380.0805,6.6768,4,17.1413,3.9761,186.9294,2,24.1223,1,98.1948,2.5650
81,45,35,26.5287,80.1226,6.1583,218.9163,rice,10.6645,3,10.3051,1.9802,383.2516,5.7865,2,12.4634,21.7146,165.7936,1,12.3714,2,12.0929,2.5105
78,40,38,26.4642,83.8564,7.5498,248.2256,rice,17.1228,2,8.4438,3.3772,399.3725,2.7106,4,14.8599,89.4733,163.6004,3,41.6849,1,1.9891,2.2065
60,51,36,22.6965,82.8108,6.0283,256.9964,rice,16.1944,1,6.4238,9.2987,354.7909,4.3885,3,7.9850,33.9155,184.3549,3,19.0492,2,31.9527,2.7106
88,46,42,22.6831,83.4635,6.6049,194.2651,rice,23.8168,1,5.1224,13.9759,357.5823,4.5510,1,7.2844,88.7918,118.5900,3,29.9318,2,48.1612,2.4927
93,47,37,21.5334,82.1400,6.5003,295.9248,rice,27.7400,2,5.4294,7.1302,449.1218,9.1455,5,7.4116,69.6291,125.6699,3,6.8452,2,90.8643,3.7703
60,55,45,21.4086,83.3293,5.9357,287.5766,rice,11.5230,3,6.4620,18.3716,392.9445,1.2835,1,10.6425,69.6534,130.3747,3,7.7115,1,8.7292,1.4643
78,35,44,26.5434,84.6735,7.0726,183.6222,rice,14.7774,1,6.9968,14.8345,388.5297,2.0545,3,15.9450,5.2114,172.4208,1,24.6999,2,19.9188,2.7611
65,37,40,23.3590,83.5951,5.3333,188.4136,rice,28.9683,1,10.3391,11.0566,421.0235,9.3930,4,5.4845,29.1371,81.7799,1,13.1554,2,55.3562,4.2822
